ID,PROVINCIA,CANTON,DISTRITO,COD_POSTAL,AREA_KM2,POBL_2022,POBL_2011,POBL_2000
Alajuela.SanRamón.Concepción,Alajuela,SanRamón,Concepción,20211,9.49,2765.0,2348.0,1841.0
Alajuela.SanRamón.Zapotal,Alajuela,SanRamón,Zapotal,20212,67.24,515.0,391.0,463.0
Alajuela.SanRamón.PeñasBlancas,Alajuela,SanRamón,PeñasBlancas,20213,247.04,12371.0,9289.0,6632.0
Alajuela.SanRamón.SanLorenzo,Alajuela,SanRamón,SanLorenzo,20214,309.15,,,
Alajuela.Grecia.Grecia,Alajuela,Grecia,Grecia,20301,7.51,16146.0,14859.0,14277.0
Alajuela.Grecia.SanIsidro,Alajuela,Grecia,SanIsidro,20302,17.01,7293.0,5949.0,5201.0
Alajuela.Grecia.SanJosé,Alajuela,Grecia,SanJosé,20303,12.36,10231.0,8100.0,6206.0
Alajuela.Grecia.SanRoque,Alajuela,Grecia,SanRoque,20304,27.0,13660.0,11132.0,9163.0
Alajuela.Grecia.Tacares,Alajuela,Grecia,Tacares,20305,24.82,10050.0,7963.0,6879.0
Alajuela.Grecia.PuentedePiedra,Alajuela,Grecia,PuentedePiedra,20307,23.07,13274.0,10556.0,9325.0
Alajuela.Grecia.Bolívar,Alajuela,Grecia,Bolívar,20308,30.77,9018.0,7265.0,6324.0
Alajuela.SanMateo.SanMateo,Alajuela,SanMateo,SanMateo,20401,64.85,3071.0,2692.0,2529.0
Alajuela.SanMateo.Desmonte,Alajuela,SanMateo,Desmonte,20402,20.19,1201.0,1047.0,871.0
Alajuela.SanMateo.JesúsMaría,Alajuela,SanMateo,JesúsMaría,20403,18.79,1517.0,2397.0,1943.0
Alajuela.SanMateo.Labrador,Alajuela,SanMateo,Labrador,20404,20.96,1487.0,,
Alajuela.Atenas.Atenas,Alajuela,Atenas,Atenas,20501,9.76,8015.0,7546.0,7182.0
Alajuela.Atenas.Jesús,Alajuela,Atenas,Jesús,20502,17.96,4396.0,3631.0,3598.0
Alajuela.Atenas.Mercedes,Alajuela,Atenas,Mercedes,20503,7.81,3832.0,3127.0,2691.0
Alajuela.Atenas.SanIsidro,Alajuela,Atenas,SanIsidro,20504,14.48,3521.0,2813.0,2496.0
Alajuela.Atenas.Concepción,Alajuela,Atenas,Concepción,20505,21.94,4261.0,3473.0,3048.0
Alajuela.Atenas.SanJosé,Alajuela,Atenas,SanJosé,20506,13.44,2326.0,1940.0,1794.0
Alajuela.Atenas.SantaEulalia,Alajuela,Atenas,SantaEulalia,20507,14.59,2510.0,2082.0,1670.0
Alajuela.Atenas.Escobal,Alajuela,Atenas,Escobal,20508,26.5,1019.0,848.0,
Alajuela.Naranjo.Naranjo,Alajuela,Naranjo,Naranjo,20601,17.26,17348.0,15936.0,18514.0
Alajuela.Naranjo.SanMiguel,Alajuela,Naranjo,SanMiguel,20602,15.52,5782.0,4657.0,3532.0
Alajuela.Naranjo.SanJosé,Alajuela,Naranjo,SanJosé,20603,21.12,3666.0,3162.0,3225.0
Alajuela.Naranjo.CirríSur,Alajuela,Naranjo,CirríSur,20604,32.07,5533.0,4552.0,3790.0
Alajuela.Naranjo.SanJerónimo,Alajuela,Naranjo,SanJerónimo,20605,9.12,4076.0,3264.0,2703.0
Alajuela.Naranjo.SanJuan,Alajuela,Naranjo,SanJuan,20606,6.78,3688.0,3114.0,2709.0
Alajuela.Naranjo.ElRosario,Alajuela,Naranjo,ElRosario,20607,17.21,4638.0,3757.0,3129.0
Alajuela.Naranjo.Palmitos,Alajuela,Naranjo,Palmitos,20608,8.09,5033.0,4271.0,
Alajuela.Palmares.Palmares,Alajuela,Palmares,Palmares,20701,1.14,3764.0,3599.0,4105.0
Alajuela.Palmares.Zaragoza,Alajuela,Palmares,Zaragoza,20702,8.34,9901.0,8219.0,7493.0
Alajuela.Palmares.BuenosAires,Alajuela,Palmares,BuenosAires,20703,6.88,8931.0,7493.0,6879.0
Alajuela.Palmares.Santiago,Alajuela,Palmares,Santiago,20704,7.94,3379.0,2737.0,2682.0
Alajuela.Palmares.Candelaria,Alajuela,Palmares,Candelaria,20705,4.69,2457.0,1961.0,1745.0
Alajuela.Palmares.Esquipulas,Alajuela,Palmares,Esquipulas,20706,5.41,8435.0,6588.0,3652.0
Alajuela.Palmares.LaGranja,Alajuela,Palmares,LaGranja,20707,4.44,4938.0,4119.0,3210.0
Alajuela.Poás.SanPedro,Alajuela,Poás,SanPedro,20801,13.63,8243.0,7554.0,6913.0
Alajuela.Poás.SanJuan,Alajuela,Poás,SanJuan,20802,16.31,5647.0,4638.0,3738.0
Alajuela.Poás.SanRafael,Alajuela,Poás,SanRafael,20803,14.19,6655.0,5436.0,5025.0
Alajuela.Poás.Carrillos,Alajuela,Poás,Carrillos,20804,10.14,11330.0,9228.0,6901.0
Alajuela.Poás.SabanaRedonda,Alajuela,Poás,SabanaRedonda,20805,20.33,3051.0,2343.0,2187.0
Alajuela.Orotina.Orotina,Alajuela,Orotina,Orotina,20901,21.59,10680.0,9664.0,8045.0
Alajuela.Orotina.ElMastate,Alajuela,Orotina,ElMastate,20902,9.53,2249.0,1821.0,1624.0
Alajuela.Orotina.HaciendaVieja,Alajuela,Orotina,HaciendaVieja,20903,16.93,1242.0,1022.0,890.0
Alajuela.Orotina.Coyolar,Alajuela,Orotina,Coyolar,20904,36.51,7685.0,5912.0,3636.0
Alajuela.Orotina.LaCeiba,Alajuela,Orotina,LaCeiba,20905,60.55,2592.0,1922.0,1510.0
Alajuela.SanCarlos.Quesada,Alajuela,SanCarlos,Quesada,21001,144.0,46127.0,42060.0,36365.0
Alajuela.SanCarlos.Florencia,Alajuela,SanCarlos,Florencia,21002,198.54,18517.0,15149.0,12444.0
Alajuela.SanCarlos.Buenavista,Alajuela,SanCarlos,Buenavista,21003,25.98,420.0,325.0,352.0
Alajuela.SanCarlos.AguasZarcas,Alajuela,SanCarlos,AguasZarcas,21004,185.86,26305.0,20239.0,13651.0
Alajuela.SanCarlos.Venecia,Alajuela,SanCarlos,Venecia,21005,132.44,12172.0,9638.0,7394.0
Alajuela.SanCarlos.Pital,Alajuela,SanCarlos,Pital,21006,379.61,25359.0,17318.0,12317.0
